epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2731.14,0.99043,1.03603,1.22322,0.72562,0.66143,0.68599,0.54145,1.28364,1.37634,1.44425,0.0004258,0.0004258,0.0004258
60,2777.81,0.98299,1.02263,1.22033,0.70361,0.68215,0.69212,0.54426,1.26735,1.36319,1.43173,0.0004159,0.0004159,0.0004159
61,2824.27,0.96564,1.00038,1.21943,0.72263,0.66442,0.69688,0.54892,1.27147,1.35035,1.44346,0.000406,0.000406,0.000406
62,2870.32,0.98263,1.00681,1.21599,0.72376,0.66034,0.69352,0.54562,1.27476,1.36577,1.43512,0.0003961,0.0003961,0.0003961
63,2916.89,0.94692,0.96754,1.20003,0.72103,0.66236,0.69361,0.54633,1.275,1.3645,1.44473,0.0003862,0.0003862,0.0003862
64,2963.73,0.95155,0.97685,1.20241,0.7343,0.66163,0.68572,0.54277,1.27038,1.36501,1.43408,0.0003763,0.0003763,0.0003763
65,3010.16,0.95303,0.95771,1.1949,0.73397,0.64476,0.69762,0.55136,1.27618,1.36155,1.45095,0.0003664,0.0003664,0.0003664
66,3056.17,0.95635,0.96451,1.19878,0.73701,0.66909,0.70268,0.54604,1.28363,1.35756,1.44792,0.0003565,0.0003565,0.0003565
67,3102.52,0.94145,0.9638,1.19556,0.73448,0.67425,0.69314,0.54721,1.27172,1.37031,1.44022,0.0003466,0.0003466,0.0003466
68,3148.87,0.9448,0.94272,1.195,0.72935,0.66834,0.69865,0.55133,1.27193,1.3546,1.43753,0.0003367,0.0003367,0.0003367
69,3195.51,0.93208,0.92118,1.18749,0.73995,0.65772,0.7001,0.54911,1.28094,1.38725,1.44952,0.0003268,0.0003268,0.0003268
70,3241.33,0.92856,0.92776,1.17959,0.72308,0.67278,0.69544,0.54795,1.2784,1.35798,1.45043,0.0003169,0.0003169,0.0003169
71,3287.18,0.93025,0.91291,1.17882,0.73915,0.66903,0.70786,0.55956,1.26427,1.32899,1.43913,0.000307,0.000307,0.000307
72,3333.37,0.91941,0.90952,1.17949,0.72305,0.66611,0.70114,0.5517,1.27839,1.35464,1.44775,0.0002971,0.0002971,0.0002971
73,3379.25,0.91233,0.89872,1.17237,0.70537,0.69209,0.7086,0.56228,1.27187,1.35149,1.44263,0.0002872,0.0002872,0.0002872
74,3425.35,0.91363,0.89507,1.17323,0.71478,0.67666,0.70107,0.55304,1.28407,1.33852,1.44439,0.0002773,0.0002773,0.0002773
75,3471.93,0.90169,0.87561,1.1623,0.73038,0.6634,0.69859,0.5491,1.27812,1.33572,1.44079,0.0002674,0.0002674,0.0002674
76,3518.52,0.89932,0.88085,1.16326,0.75882,0.66839,0.70895,0.55667,1.26963,1.33351,1.44004,0.0002575,0.0002575,0.0002575
77,3565.47,0.90732,0.87927,1.17154,0.74313,0.68467,0.71449,0.5595,1.29778,1.34587,1.45889,0.0002476,0.0002476,0.0002476
78,3612.47,0.8975,0.86337,1.15707,0.75456,0.66944,0.70636,0.55687,1.26531,1.34169,1.44357,0.0002377,0.0002377,0.0002377
79,3660.06,0.89576,0.8633,1.1587,0.74347,0.68029,0.71011,0.56128,1.26348,1.30159,1.43894,0.0002278,0.0002278,0.0002278
80,3705.88,0.88,0.84166,1.14748,0.76835,0.66912,0.70965,0.56055,1.27789,1.31335,1.44704,0.0002179,0.0002179,0.0002179
81,3752.75,0.88237,0.84073,1.15129,0.74538,0.67817,0.71424,0.55925,1.26206,1.29661,1.43485,0.000208,0.000208,0.000208
82,3798.73,0.87138,0.82585,1.14791,0.75495,0.672,0.7144,0.56303,1.26602,1.31064,1.45062,0.0001981,0.0001981,0.0001981
83,3845.27,0.87439,0.81583,1.14089,0.73205,0.68858,0.70935,0.5582,1.27903,1.30435,1.44915,0.0001882,0.0001882,0.0001882
84,3892.07,0.88597,0.83036,1.14964,0.75126,0.66741,0.71539,0.56567,1.29246,1.32897,1.47592,0.0001783,0.0001783,0.0001783
85,3938.94,0.87199,0.80902,1.14501,0.77039,0.66863,0.71316,0.56455,1.29891,1.32956,1.46701,0.0001684,0.0001684,0.0001684
86,3986.01,0.87034,0.80603,1.13769,0.74438,0.69766,0.71615,0.565,1.28344,1.3039,1.45355,0.0001585,0.0001585,0.0001585
87,4032.81,0.87653,0.81658,1.14551,0.73189,0.69141,0.71638,0.56521,1.27872,1.31159,1.45568,0.0001486,0.0001486,0.0001486
88,4078.91,0.86009,0.79948,1.13583,0.75374,0.68138,0.71314,0.56465,1.28167,1.29541,1.45912,0.0001387,0.0001387,0.0001387
89,4125.33,0.8479,0.78223,1.12561,0.75927,0.67385,0.7165,0.56545,1.27765,1.31766,1.46109,0.0001288,0.0001288,0.0001288
90,4171.64,0.8452,0.78357,1.1278,0.73806,0.69543,0.71446,0.56516,1.26963,1.3116,1.4506,0.0001189,0.0001189,0.0001189
91,4219.84,0.84359,0.74037,1.11247,0.72803,0.69096,0.69904,0.54957,1.30613,1.35278,1.49223,0.000109,0.000109,0.000109
92,4265.66,0.80117,0.66193,1.08305,0.73898,0.679,0.70198,0.55703,1.2847,1.3215,1.46817,9.91e-05,9.91e-05,9.91e-05
93,4311.22,0.7948,0.63948,1.07707,0.75018,0.68488,0.71221,0.56225,1.29038,1.3219,1.47271,8.92e-05,8.92e-05,8.92e-05
94,4357.14,0.7944,0.63572,1.07629,0.75797,0.68231,0.71242,0.56213,1.29042,1.31818,1.46978,7.93e-05,7.93e-05,7.93e-05
95,4402.97,0.77802,0.61997,1.06588,0.76195,0.69155,0.71401,0.56432,1.27864,1.30223,1.47282,6.94e-05,6.94e-05,6.94e-05
96,4448.47,0.77715,0.61782,1.06295,0.78238,0.67904,0.71517,0.56745,1.27934,1.30462,1.46842,5.95e-05,5.95e-05,5.95e-05
97,4493.46,0.76613,0.60216,1.05656,0.75259,0.69538,0.71918,0.56962,1.28455,1.31172,1.47774,4.96e-05,4.96e-05,4.96e-05
98,4537.96,0.76264,0.59853,1.05793,0.75253,0.69362,0.71967,0.56937,1.28717,1.30395,1.483,3.97e-05,3.97e-05,3.97e-05
99,4583.05,0.76133,0.59348,1.05162,0.76919,0.6874,0.72165,0.56967,1.28632,1.30584,1.47993,2.98e-05,2.98e-05,2.98e-05
100,4627.64,0.76109,0.58922,1.05051,0.7764,0.6824,0.72075,0.56983,1.28629,1.30832,1.48183,1.99e-05,1.99e-05,1.99e-05
